[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001188s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001288s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000579s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000654s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001341s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001418s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.028608s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028702s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.001098s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.004529s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000990s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000935s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007764s ]
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-07T09:03:39+08:00 ] /zj906/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001023s ]
